City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,santa isabel,-23.3156,-46.2214,28.61,19,6,4.94,BR,1725294626
155,kalmunai,7.4167,81.8167,28.34,73,99,2.28,LK,1725294735
156,torre annunziata,40.7497,14.4646,31.42,82,83,0.45,IT,1725294737
157,aasiaat,68.7098,-52.8699,2.1,80,64,6.03,GL,1725294738
158,puyo,-1.4667,-77.9833,27.58,65,75,0.0,EC,1725294727
159,salym,60.0625,71.4789,9.69,87,91,3.25,RU,1725294734
160,petrozavodsk,61.7849,34.3469,19.7,68,19,2.0,RU,1725294464
161,sheringham,52.9408,1.2093,23.19,73,95,5.12,GB,1725294742
162,lorengau,-2.0226,147.2712,26.62,80,100,2.18,PG,1725294621
163,mirpur sakro,24.5474,67.6277,27.97,76,70,4.2,PK,1725294744
164,hamilton,39.1834,-84.5333,24.68,52,40,5.66,US,1725294745
165,aykhal,66.0,111.5,10.95,81,100,3.56,RU,1725294746
166,tralee,52.2704,-9.7026,16.14,63,75,3.6,IE,1725294748
167,port lincoln,-34.7333,135.8667,10.3,73,0,1.69,AU,1725294749
168,nouadhibou,20.931,-17.0347,24.99,69,22,9.26,MR,1725294750
169,deschutes river woods,43.9915,-121.3584,22.01,45,0,2.57,US,1725294751
170,stanley,54.868,-1.6985,18.49,90,75,4.12,GB,1725294752
171,pisco,-13.7,-76.2167,19.03,68,20,3.6,PE,1725294753
172,palikir - national government center,6.9248,158.1611,28.0,72,99,2.75,FM,1725294754
173,nimbahera,24.6167,74.6833,25.84,87,93,3.32,IN,1725294755
174,kulhudhuffushi,6.6221,73.07,27.99,79,100,6.1,MV,1725294756
175,hacienda huancane,-15.8222,-70.8856,10.75,27,89,5.66,PE,1725294757
176,margaret river,-33.95,115.0667,13.77,84,0,2.92,AU,1725294759
177,bitkine,11.9801,18.2138,23.22,92,100,2.43,TD,1725294760
178,capitao poco,-1.7464,-47.0594,36.84,27,29,2.52,BR,1725294761
179,vadso,70.0744,29.7487,17.09,72,100,2.57,NO,1725294590
180,usogorsk,63.4106,48.6872,11.42,70,96,3.77,RU,1725294764
181,veinticinco de mayo,-35.4323,-60.1727,19.43,64,100,4.47,AR,1725294765
182,warin chamrap,15.1932,104.8628,24.9,100,100,5.14,TH,1725294766
183,walvis bay,-22.9575,14.5053,21.81,41,13,5.9,NA,1725294768
184,port elizabeth,-33.918,25.5701,19.16,89,0,8.75,ZA,1725294614
185,mahina,-17.5065,-149.489,23.71,77,25,12.97,PF,1725294770
186,geneina,13.45,22.45,24.58,76,77,2.26,SD,1725294771
187,baukau,51.5526,7.2042,22.52,43,53,1.02,DE,1725294772
188,zambezi,-13.5432,23.1047,23.83,22,0,2.86,ZM,1725294773
189,karratha,-20.7377,116.8463,25.62,44,41,2.23,AU,1725294774
190,mostaganem,35.9311,0.0892,26.16,73,1,5.13,DZ,1725294775
191,taltal,-25.4,-70.4833,16.27,71,25,3.09,CL,1725294612
192,queenstown,-31.8976,26.8753,18.07,26,0,1.17,ZA,1725294602
193,kangaba,11.9333,-8.4167,25.82,87,97,1.78,ML,1725294779
194,surin,14.8818,103.4936,26.07,85,92,3.43,TH,1725294780
195,malvan,16.0667,73.4667,26.16,84,100,1.58,IN,1725294781
196,auki,-8.7676,160.7034,24.09,92,78,1.68,SB,1725294783
197,juneau,58.3019,-134.4197,11.9,100,100,2.06,US,1725294688
198,bagudo,11.4033,4.2296,27.48,77,76,2.74,NG,1725294787
199,howrah,22.5892,88.3103,30.0,84,20,2.57,IN,1725294789
200,rio verde de mato grosso,-18.9181,-54.8442,37.11,10,2,2.97,BR,1725294790
201,eldoret,0.5204,35.2699,18.05,72,75,2.06,KE,1725294791
202,douglas,41.3,-96.167,22.51,52,0,4.12,US,1725294757
203,port douglas,-16.4833,145.4667,20.97,86,5,2.17,AU,1725294793
204,atasu,48.6814,71.6433,12.4,40,40,2.07,KZ,1725294794
205,hawaiian paradise park,19.5933,-154.9731,23.28,93,100,3.6,US,1725294795
206,dudinka,69.4058,86.1778,9.67,69,99,4.85,RU,1725294796
207,yeppoon,-23.1333,150.7333,18.26,86,0,1.67,AU,1725294797
208,wynyard,-41.0,145.7167,7.32,78,35,7.66,AU,1725294799
209,canico,32.6333,-16.85,23.35,88,75,8.23,PT,1725294800
210,kharabali,47.4196,47.2568,22.93,33,49,8.41,RU,1725294801
211,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,2.0,RU,1725294802
212,cullera,39.1667,-0.25,27.7,75,36,1.79,ES,1725294803
213,alotau,-10.3069,150.4462,23.04,93,90,1.73,PG,1725294804
214,polur,12.5,79.1333,27.99,64,100,2.64,IN,1725294805
215,rio preto da eva,-2.6994,-59.6997,40.68,16,62,2.25,BR,1725294806
216,tabou,4.423,-7.3528,25.17,77,40,3.3,CI,1725294807
217,umea,63.8284,20.2597,13.96,94,75,0.0,SE,1725294808
218,taroa,8.7058,171.2275,28.14,78,19,3.01,MH,1725294809
219,port mathurin,-19.6833,63.4167,21.81,78,25,8.83,MU,1725294591
220,tambacounda,13.7539,-13.7586,32.03,70,75,4.12,SN,1725294812
221,sinabang,2.4803,96.3801,26.85,82,99,1.87,ID,1725294602
222,san antonio de pale,-1.4014,5.6325,24.22,84,50,4.22,GQ,1725294814
223,howard springs,-12.497,131.047,25.95,88,10,0.2,AU,1725294815
224,callao,-12.0667,-77.15,20.95,77,100,3.09,PE,1725294816
225,uturoa,-16.7333,-151.4333,25.11,73,85,10.88,PF,1725294817
226,flin flon,54.7682,-101.865,24.89,32,0,4.36,CA,1725294818
227,santiago de cao,-7.9589,-79.2392,18.69,76,69,5.66,PE,1725294819
228,salanso,12.1833,-4.0833,28.05,78,76,3.65,BF,1725294820
229,arkhangel'sk,64.5401,40.5433,14.06,72,75,1.0,RU,1725294821
230,ziro,27.6333,93.8333,16.62,97,91,0.39,IN,1725294823
231,togur,58.3631,82.8265,6.55,97,100,4.85,RU,1725294824
232,paciran,-6.8767,112.3761,26.66,73,60,2.79,ID,1725294825
233,villard-bonnot,45.24,5.8902,27.37,91,54,0.27,FR,1725294826
234,montmagny,48.9734,2.3469,25.61,47,0,4.63,FR,1725294827
235,mar del plata,-38.0023,-57.5575,13.01,83,100,7.2,AR,1725294663
236,codrington,-38.2667,141.9667,7.44,85,31,4.02,AU,1725294830
237,tezu,27.9167,96.1667,25.56,84,44,1.58,IN,1725294831
238,papao,-17.75,-149.55,23.75,75,84,12.34,PF,1725294832
239,vinh long,10.25,105.9667,24.68,93,100,2.31,VN,1725294834
240,berriane,32.8265,3.7669,36.43,18,27,4.26,DZ,1725294835
241,siwa oasis,29.2041,25.5195,34.99,20,0,2.91,EG,1725294836
242,kondopoga,62.2057,34.2614,17.26,65,8,2.26,RU,1725294837
243,port saint john's,-31.6229,29.5448,18.14,80,17,5.48,ZA,1725294838
244,saipan,15.1355,145.701,27.39,83,40,3.6,MP,1725294839
245,lebu,-37.6167,-73.65,9.39,88,65,4.57,CL,1725294840
246,yelanskiy,56.8419,62.5014,16.64,74,97,5.55,RU,1725294841
247,jackson,42.4165,-122.8345,20.03,58,0,1.54,US,1725294644
248,white hall,34.274,-92.091,27.7,79,100,3.6,US,1725294844
249,twon-brass,4.3151,6.2418,26.39,77,85,5.23,NG,1725294845
250,zakynthos,37.7914,20.8953,30.62,58,20,2.57,GR,1725294846
251,nago,26.5881,127.9761,26.87,79,50,1.98,JP,1725294609
252,cole harbour,44.6724,-63.4751,21.09,92,100,1.34,CA,1725294848
253,tilisarao,-32.7329,-65.2911,23.71,23,2,6.95,AR,1725294849
254,angaur state,6.906,134.13,28.58,70,61,3.23,PW,1725294617
255,cockburn town,21.4612,-71.1419,28.86,80,57,8.99,TC,1725294851
256,punta arenas,-53.15,-70.9167,8.06,71,0,5.66,CL,1725294852
257,hithadhoo,-0.6,73.0833,28.64,77,100,5.08,MV,1725294853
258,capri,40.5507,14.2426,28.41,73,92,2.77,IT,1725294855
259,naze,28.3667,129.4833,22.51,76,52,0.77,JP,1725294856
260,susuman,62.7833,148.1667,7.64,90,100,3.1,RU,1725294608
261,uvalde,29.3669,-99.767,27.4,77,100,2.06,US,1725294666
262,thinadhoo,0.5333,72.9333,28.51,76,100,3.03,MV,1725294859
263,rikaze,29.25,88.8833,14.16,50,91,2.63,CN,1725294626
264,kihurio,-4.4667,38.0667,22.25,76,85,1.27,TZ,1725294861
265,fukuecho,32.6881,128.8419,26.09,78,51,2.07,JP,1725294862
266,homer,59.6425,-151.5483,11.54,93,100,0.0,US,1725294863
267,sittwe,20.15,92.9,27.77,84,99,2.0,MM,1725294864
268,makow podhalanski,49.7301,19.6771,22.18,85,86,2.24,PL,1725294866
269,shar,49.5886,81.0453,10.34,65,54,3.15,KZ,1725294867
270,chibougamau,49.9168,-74.3659,9.79,71,100,5.66,CA,1725294868
271,carbonear,47.7332,-53.2148,24.52,86,100,4.15,CA,1725294869
272,flying fish cove,-10.4217,105.6791,24.82,88,75,5.14,CX,1725294798
273,medicine hat,50.0501,-110.6683,21.55,49,20,4.12,CA,1725294866
274,makurazaki,31.2667,130.3167,24.56,75,86,1.97,JP,1725294872
275,morehead city,34.7229,-76.726,28.34,86,100,1.79,US,1725294873
276,nurmes,63.5421,29.1397,17.81,61,8,3.92,FI,1725294874
277,hammerfest,70.6634,23.6821,20.25,56,0,3.6,NO,1725294875
278,villadossola,46.0732,8.2674,23.52,65,33,0.34,IT,1725294877
279,les cayes,18.2,-73.75,31.91,60,19,6.03,HT,1725294634
280,georgetown,5.4112,100.3354,27.96,87,20,0.51,MY,1725294776
281,misliyah,17.4599,42.5572,31.62,39,78,3.69,SA,1725294880
282,makarov,48.6333,142.8,13.37,76,0,3.66,RU,1725294881
283,remire-montjoly,4.9167,-52.2667,29.02,74,40,1.03,GF,1725294598
284,port hedland,-20.3167,118.5667,24.03,73,20,3.6,AU,1725294883
285,sirte,31.2089,16.5887,28.7,59,0,7.98,LY,1725294884
286,kismayo,-0.3582,42.5454,25.06,73,8,7.07,SO,1725294590
287,nar'yan-mar,67.6713,53.087,7.44,81,100,6.71,RU,1725294888
288,dryden,49.7833,-92.7503,19.16,55,0,6.69,CA,1725294889
289,marquette,46.5333,-87.6335,20.38,47,7,3.13,US,1725294890
290,holualoa,19.6228,-155.9522,22.15,89,13,1.86,US,1725294625
291,xiaolingwei,32.0333,118.85,24.88,78,100,3.53,CN,1725294892
292,talnakh,69.4865,88.3972,9.37,84,100,1.29,RU,1725294893
293,sitka,57.0531,-135.33,12.94,88,100,0.0,US,1725294894
294,yamada,39.4667,141.95,20.4,93,100,1.12,JP,1725294895
295,taft,31.7471,54.2088,27.97,9,0,2.06,IR,1725294896
296,zunyi,27.6867,106.9072,23.13,81,6,0.5,CN,1725294897
297,port blair,11.6667,92.75,27.02,94,75,1.03,IN,1725294899
298,samoylovka,51.184,43.7081,21.76,24,85,3.87,RU,1725294900
299,northam,51.0333,-4.2167,18.12,92,99,6.52,GB,1725294901
300,tolanaro,-25.0319,46.9987,21.04,88,75,5.14,MG,1725294903
301,kangding,30.0513,101.9603,15.8,95,91,0.65,CN,1725294904
302,les anglais,18.3054,-74.2197,29.03,74,13,4.37,HT,1725294905
303,shimoda,34.6667,138.95,25.3,93,97,3.29,JP,1725294906
304,sandnessjoen,66.0217,12.6316,20.06,45,0,2.57,NO,1725294629
305,mersa matruh,31.3525,27.2453,29.11,65,0,6.69,EG,1725294909
306,luderitz,-26.6481,15.1594,22.29,39,1,0.98,NA,1725294619
307,acarau,-2.8856,-40.12,31.16,49,36,7.14,BR,1725294912
308,fuglafjordur,62.244,-6.814,11.99,93,100,4.65,FO,1725294913
309,salem,11.65,78.1667,24.17,92,85,2.15,IN,1725294640
310,kapa'a,22.0752,-159.319,26.18,86,0,5.14,US,1725294915
